,score,studio,number_episodes,demographics,emission_type,month,members,action,comedy,ecchi,slice_of_life,sports,drama and romance,adventure and fantasy,mystery and horror,sci_fi and supernatural,Cluster
1548,7.55,toei_animation,74.0,shounen,tv,10.0,11161.0,0,0,0,0,0,0,0,0,1,0
1549,7.55,lidenfilms,12.0,shounen,tv,4.0,751500.0,0,1,0,0,0,1,0,1,1,0
1550,7.55,otros_estudios,1.0,seinen,movie,10.0,41970.0,0,1,0,0,0,1,0,0,1,0
1551,7.55,otros_estudios,22.0,seinen,tv,4.0,64899.0,0,1,0,0,0,1,0,0,1,0
1552,7.55,gonzo,24.0,seinen,tv,4.0,181029.0,1,0,0,0,0,2,0,0,0,0
1553,7.55,toei_animation,1.0,shoujo,movie,12.0,39757.0,0,0,0,0,0,1,0,0,0,0
1555,7.55,a_1_pictures,12.0,seinen,tv,1.0,401903.0,0,1,0,0,0,0,1,0,0,0
1561,7.55,pierrot,50.0,shounen,tv,4.0,53648.0,1,1,0,0,0,1,1,0,1,0
1565,7.55,nippon_animation,52.0,shounen,tv,9.0,24055.0,0,1,0,1,1,0,0,0,0,0
1567,7.55,sunrise,1.0,shounen,movie,12.0,90562.0,1,0,0,0,0,1,2,0,0,0
1569,7.55,tms_entertainment,43.0,shoujo,tv,10.0,19665.0,0,0,0,0,0,1,1,0,0,0
1572,7.54,tms_entertainment,13.0,shounen,ona,6.0,175712.0,0,0,0,0,1,0,0,0,0,0
1573,7.54,toei_animation,1.0,shoujo,movie,1.0,27087.0,0,0,0,0,0,1,1,0,0,0
1576,7.54,a_1_pictures,1.0,shounen,movie,5.0,181581.0,1,0,0,0,0,0,2,0,0,0
1577,7.54,studio_deen,26.0,seinen,tv,4.0,68444.0,0,0,0,0,1,1,0,0,0,0
1581,7.54,otros_estudios,1.0,shounen,special,9.0,89726.0,0,1,0,0,0,0,0,0,1,0
1582,7.54,otros_estudios,1.0,shounen,ona,3.0,28277.0,0,1,0,0,0,0,0,0,0,0
1585,7.54,toei_animation,150.0,shounen,tv,4.0,121238.0,0,1,0,0,0,0,1,0,1,0
1586,7.54,production_i_g,1.0,shounen,ova,12.0,50783.0,0,0,0,0,1,0,0,0,0,0
1587,7.54,shin_ei_animation,12.0,shounen,tv,4.0,142715.0,0,0,0,0,0,1,0,0,0,0
1588,7.54,otros_estudios,1.0,shounen,special,2.0,18287.0,0,1,0,1,0,0,0,0,0,0
1589,7.54,otros_estudios,10.0,shounen,tv,7.0,57309.0,0,1,0,0,0,1,0,0,0,0
1593,7.54,production_i_g,13.0,shounen,tv,1.0,61429.0,0,0,0,0,1,0,0,0,0,0
1594,7.54,otros_estudios,7.0,shounen,special,10.0,32213.0,0,1,0,0,0,0,0,0,0,0
1596,7.54,studio_deen,47.0,seinen,tv,10.0,32170.0,1,1,0,0,0,0,0,0,0,0
1598,7.54,xebec,6.0,shounen,ova,8.0,128439.0,0,1,1,0,0,1,0,0,1,0
1599,7.54,shin_ei_animation,21.0,seinen,tv,1.0,222499.0,0,1,0,0,0,0,0,0,0,0
1603,7.54,production_i_g,13.0,seinen,tv,4.0,36919.0,0,1,0,0,0,0,0,0,1,0
1605,7.53,xebec,3.0,shounen,ova,1.0,82745.0,0,1,1,0,0,1,0,0,1,0
1607,7.53,otros_estudios,1.0,shounen,ova,3.0,37616.0,0,0,0,0,0,0,0,0,1,0
1612,7.53,tms_entertainment,12.0,seinen,tv,7.0,304120.0,0,0,0,1,0,0,0,0,0,0
1614,7.53,otros_estudios,17.0,shounen,tv,4.0,13040.0,1,0,0,0,0,1,0,0,0,0
1616,7.53,shin_ei_animation,1.0,kids,movie,3.0,14013.0,0,1,0,0,0,0,1,0,0,0
1617,7.53,otros_estudios,2.0,seinen,ova,12.0,75432.0,1,1,0,0,0,0,2,0,0,0
1620,7.53,otros_estudios,7.0,kids,ona,1.0,21211.0,1,1,0,0,0,0,2,0,0,0
1621,7.53,lidenfilms,13.0,seinen,tv,1.0,213010.0,1,0,0,0,0,1,0,0,0,0
1623,7.53,gallop,61.0,shoujo,tv,10.0,9111.0,0,1,0,0,0,1,1,0,0,0
1624,7.53,brain_base,12.0,shounen,tv,4.0,303036.0,0,1,0,1,0,0,0,0,0,0
1625,7.53,gonzo,26.0,josei,tv,4.0,155693.0,0,0,0,0,0,2,1,0,0,0
1627,7.53,pierrot,48.0,shounen,tv,4.0,45618.0,0,1,0,0,0,2,0,0,0,0
1628,7.53,toei_animation,25.0,shounen,tv,4.0,17910.0,0,0,0,0,0,0,0,1,0,0
1630,7.53,otros_estudios,13.0,shounen,tv,7.0,104461.0,0,1,0,1,0,0,0,0,0,0
1631,7.53,toei_animation,1.0,shounen,movie,3.0,97403.0,1,0,0,0,0,0,2,0,0,0
1632,7.53,xebec,26.0,shounen,tv,4.0,43623.0,0,0,0,0,1,0,0,0,0,0
1636,7.53,toei_animation,20.0,shounen,tv,10.0,9522.0,0,0,0,0,0,0,0,0,0,0
1639,7.52,otros_estudios,1.0,shounen,movie,2.0,71720.0,1,0,0,0,0,0,1,0,0,0
1640,7.52,a_1_pictures,1.0,shounen,special,9.0,111247.0,0,1,0,0,0,0,0,0,1,0
1643,7.52,madhouse,1.0,shounen,movie,5.0,100628.0,0,0,0,0,0,2,1,0,1,0
1647,7.52,toei_animation,1.0,shounen,movie,8.0,16080.0,0,0,0,0,1,0,0,0,0,0
1649,7.52,toei_animation,147.0,shounen,tv,4.0,124092.0,1,1,0,0,0,0,2,0,0,0
1650,7.52,otros_estudios,26.0,shounen,tv,4.0,221876.0,1,0,0,0,0,1,2,0,0,0
1654,7.52,otros_estudios,1.0,seinen,ova,12.0,46245.0,0,1,0,0,0,0,0,0,0,0
1659,7.52,toei_animation,1.0,shounen,special,8.0,46330.0,1,1,0,0,0,0,1,0,1,0
1661,7.52,bones,1.0,shounen,movie,7.0,321076.0,0,1,0,0,0,1,1,0,0,0
1664,7.52,otros_estudios,50.0,seinen,tv,4.0,41004.0,1,0,0,0,0,1,1,0,0,0
1665,7.52,production_i_g,1.0,shounen,ova,8.0,36021.0,0,0,0,0,1,0,0,0,0,0
1666,7.52,synergysp,52.0,shounen,tv,4.0,220509.0,1,1,0,0,0,1,0,0,0,0
1673,7.52,shin_ei_animation,1.0,shounen,ova,7.0,85441.0,0,1,0,0,0,0,0,0,0,0
1674,7.51,otros_estudios,3.0,seinen,special,4.0,26636.0,0,1,0,0,0,1,0,0,1,0
1677,7.51,brain_base,12.0,seinen,tv,1.0,379357.0,0,1,0,0,0,0,0,0,0,0
1681,7.51,j_c_staff,12.0,shounen,tv,4.0,257537.0,0,0,0,1,0,0,0,0,1,0
1682,7.51,toei_animation,36.0,shoujo,tv,5.0,4063.0,0,0,0,0,0,1,0,0,0,0
1684,7.51,otros_estudios,13.0,josei,tv,10.0,70492.0,0,0,0,0,0,0,1,1,0,0
1687,7.51,tms_entertainment,29.0,shoujo,tv,4.0,32154.0,0,0,0,0,0,2,2,0,0,0
1692,7.51,gonzo,24.0,shoujo,tv,4.0,356108.0,0,1,0,0,0,1,0,0,0,0
1693,7.51,production_i_g,13.0,seinen,tv,4.0,75015.0,0,1,0,0,0,0,0,0,1,0
1697,7.5,madhouse,124.0,seinen,tv,10.0,20165.0,0,1,0,0,1,2,0,0,0,0
1698,7.5,otros_estudios,2.0,seinen,special,2.0,25129.0,0,1,0,0,0,1,0,0,1,0
1699,7.5,sunrise,1.0,shoujo,movie,12.0,7784.0,0,0,0,1,0,0,0,0,0,0
1700,7.5,a_1_pictures,25.0,shounen,tv,4.0,1845011.0,1,0,0,0,0,0,1,0,0,2
1701,7.5,pierrot,3.0,shounen,ova,2.0,17675.0,1,0,0,0,0,2,1,0,0,0
1702,7.5,lidenfilms,8.0,shounen,tv,7.0,137475.0,1,0,0,0,0,1,2,0,0,0
1703,7.5,pierrot,1.0,shounen,movie,12.0,225478.0,1,0,0,0,0,0,2,0,0,0
1704,7.5,sunrise,1.0,shounen,special,4.0,7154.0,0,1,0,0,0,0,1,0,0,0
1705,7.5,tms_entertainment,1.0,shounen,ova,4.0,12814.0,0,1,0,0,0,0,1,1,0,0
1707,7.5,otros_estudios,3.0,seinen,ova,3.0,21071.0,1,0,0,0,0,0,1,0,0,0
1713,7.5,a_1_pictures,2.0,shounen,ova,6.0,183247.0,1,0,0,0,0,0,2,0,0,0
1715,7.5,toei_animation,1.0,shounen,special,7.0,69913.0,1,1,0,0,0,1,2,0,0,0
1716,7.5,j_c_staff,12.0,seinen,tv,4.0,1575720.0,1,1,0,0,0,0,0,0,0,2
1719,7.5,toei_animation,1.0,shoujo,movie,3.0,5823.0,1,0,0,0,0,0,1,0,0,0
1720,7.5,tatsunoko_production,140.0,shoujo,tv,7.0,20776.0,0,0,0,1,0,0,0,0,0,0
1721,7.49,xebec,26.0,shounen,tv,10.0,51932.0,1,0,0,0,0,1,0,0,1,0
1723,7.49,otros_estudios,12.0,seinen,tv,1.0,285167.0,0,0,0,0,0,2,0,0,0,0
1724,7.49,otros_estudios,12.0,seinen,tv,10.0,147840.0,0,0,0,1,0,0,1,0,0,0
1729,7.49,otros_estudios,1.0,seinen,ova,6.0,29034.0,0,1,0,1,0,0,0,0,0,0
1733,7.49,otros_estudios,12.0,shounen,tv,4.0,1266493.0,1,0,0,0,0,1,0,0,1,2
1735,7.49,studio_deen,1.0,shounen,ova,7.0,13420.0,1,1,0,0,0,0,0,0,1,0
1739,7.49,production_i_g,7.0,shounen,special,4.0,11795.0,0,1,0,0,1,0,0,0,0,0
1742,7.49,otros_estudios,1.0,shounen,special,11.0,77340.0,0,0,0,0,0,1,0,2,1,0
1746,7.49,gallop,1.0,shounen,movie,4.0,74092.0,0,0,0,0,0,0,1,0,0,0
1747,7.49,studio_deen,26.0,seinen,tv,10.0,21181.0,1,0,0,0,0,1,0,0,1,0
1749,7.49,toei_animation,25.0,shounen,tv,4.0,342976.0,1,0,1,0,0,0,0,0,0,0
1753,7.49,a_1_pictures,1.0,seinen,ona,6.0,81156.0,0,1,0,0,0,0,1,0,0,0
1754,7.49,tms_entertainment,1.0,shounen,ova,4.0,17100.0,0,0,0,0,0,0,1,1,0,0
1755,7.49,otros_estudios,12.0,shoujo,tv,10.0,124306.0,1,0,0,0,0,0,0,0,1,0
1756,7.49,toei_animation,35.0,shounen,tv,7.0,2650.0,1,1,0,0,1,0,0,0,0,0
1759,7.49,group_tac,24.0,shounen,tv,7.0,78865.0,0,0,0,0,1,0,0,0,0,0
1760,7.49,gonzo,13.0,seinen,tv,10.0,690998.0,1,0,0,0,0,0,0,1,1,0
1761,7.49,j_c_staff,26.0,seinen,tv,10.0,105889.0,0,1,0,0,0,0,0,0,1,0
1765,7.48,gallop,74.0,shoujo,tv,1.0,14769.0,0,1,0,0,0,1,2,0,0,0
1768,7.48,toei_animation,76.0,shounen,tv,11.0,89919.0,0,1,0,0,0,0,1,0,1,0
1771,7.48,shin_ei_animation,1.0,kids,movie,8.0,3776.0,0,1,0,0,0,0,1,0,1,0
1772,7.48,otros_estudios,13.0,seinen,tv,7.0,1455480.0,1,0,0,0,0,2,0,1,1,2
1774,7.48,nippon_animation,1.0,shoujo,movie,11.0,25018.0,0,1,0,0,0,1,0,0,0,0
1776,7.48,otros_estudios,12.0,shounen,tv,4.0,208572.0,0,1,0,1,0,0,0,0,0,0
1777,7.48,j_c_staff,1.0,shoujo,special,5.0,126931.0,0,1,0,0,0,0,0,0,0,0
1778,7.48,tatsunoko_production,51.0,shoujo,tv,4.0,2702.0,0,1,0,1,0,0,0,0,0,0
1780,7.48,toei_animation,21.0,shoujo,tv,10.0,6407.0,0,0,0,0,0,1,0,0,0,0
1781,7.48,olm,25.0,shounen,tv,4.0,20541.0,0,0,0,0,1,0,0,0,0,0
1784,7.48,a_1_pictures,2.0,seinen,ova,12.0,90528.0,0,1,0,1,0,0,0,0,0,0
1786,7.48,pierrot,51.0,shoujo,tv,7.0,39640.0,0,1,0,0,0,1,1,0,0,0
1788,7.48,brain_base,13.0,shoujo,tv,10.0,1031370.0,0,1,0,0,0,1,0,0,0,2
1790,7.48,gallop,224.0,shounen,tv,4.0,379182.0,1,0,0,0,0,0,2,0,0,0
1791,7.47,otros_estudios,26.0,kids,tv,10.0,6338.0,0,0,0,1,0,0,2,0,0,0
1792,7.47,otros_estudios,26.0,seinen,tv,6.0,40163.0,1,0,0,0,0,0,0,0,0,0
1794,7.47,toei_animation,70.0,shoujo,tv,9.0,4075.0,0,1,0,0,0,0,2,0,0,0
1795,7.47,otros_estudios,12.0,shounen,tv,1.0,147118.0,1,0,0,0,0,0,0,0,1,0
1796,7.47,otros_estudios,24.0,shounen,tv,7.0,1984399.0,1,0,0,0,0,0,1,0,0,2
1799,7.47,toei_animation,7.0,seinen,ova,1.0,7454.0,0,1,0,0,0,0,0,0,0,0
1802,7.47,otros_estudios,5.0,shounen,ova,4.0,163007.0,0,1,1,0,0,0,1,0,0,0
1807,7.47,tms_entertainment,1.0,shounen,movie,10.0,10952.0,0,0,0,0,0,0,0,0,0,0
1809,7.47,otros_estudios,3.0,seinen,ova,9.0,5428.0,0,1,0,0,0,0,1,0,0,0
1813,7.47,otros_estudios,52.0,shoujo,tv,4.0,10770.0,0,0,0,0,0,1,1,0,0,0
1815,7.47,otros_estudios,12.0,shoujo,tv,4.0,416085.0,0,1,0,0,0,1,1,0,0,0
1817,7.47,shaft,1.0,shounen,special,1.0,18140.0,0,1,0,0,0,0,0,1,0,0
1818,7.47,otros_estudios,3.0,shounen,ova,8.0,26703.0,0,1,0,1,0,0,0,0,0,0
1819,7.47,otros_estudios,12.0,shounen,tv,9.0,95064.0,0,1,0,1,0,0,0,0,0,0
1820,7.47,j_c_staff,2.0,shounen,ova,5.0,156845.0,0,0,1,0,0,0,0,0,0,0
1821,7.47,madhouse,3.0,shoujo,special,9.0,27774.0,0,1,0,0,0,0,1,0,0,0
1822,7.46,tokyo_movie_shinsha,20.0,shoujo,tv,10.0,65886.0,0,1,0,0,0,1,2,0,0,0
1825,7.46,pierrot,1.0,shounen,movie,7.0,234970.0,1,0,0,0,0,0,2,0,0,0
1827,7.46,otros_estudios,12.0,shounen,tv,4.0,136825.0,0,1,0,0,0,0,0,0,0,0
1828,7.46,shaft,1.0,shounen,special,4.0,9629.0,0,1,0,0,0,0,0,0,0,0
1829,7.46,olm,18.0,kids,ona,12.0,55536.0,1,0,0,0,0,0,2,0,0,0
1830,7.46,gonzo,25.0,seinen,tv,4.0,91160.0,0,0,0,1,0,0,0,0,0,0
1834,7.46,j_c_staff,1.0,shounen,ova,5.0,79604.0,0,0,0,0,0,1,0,0,0,0
1835,7.46,otros_estudios,12.0,shounen,tv,10.0,283379.0,0,1,1,0,0,1,1,0,1,0
1838,7.46,production_i_g,4.0,shounen,ova,8.0,10580.0,0,1,0,0,1,0,0,0,0,0
1842,7.46,tms_entertainment,1.0,shounen,movie,9.0,11932.0,0,0,0,0,1,0,0,0,0,0
1843,7.46,tatsunoko_production,13.0,shounen,tv,10.0,121711.0,1,1,0,0,0,0,0,0,1,0
1844,7.46,tatsunoko_production,3.0,shounen,ova,10.0,28522.0,1,1,0,0,0,0,0,0,1,0
1848,7.46,shin_ei_animation,1.0,kids,movie,3.0,6939.0,0,1,0,0,0,0,2,0,0,0
1853,7.46,group_tac,24.0,shounen,tv,1.0,128609.0,0,0,0,0,1,0,0,0,0,0
1856,7.46,tms_entertainment,1.0,shounen,movie,3.0,11269.0,1,0,0,0,0,0,1,0,0,0
1858,7.46,otros_estudios,13.0,shounen,tv,4.0,37318.0,0,1,0,0,0,0,0,0,0,0
1859,7.46,toei_animation,44.0,shoujo,tv,2.0,54541.0,1,0,0,0,0,2,0,1,1,0
1862,7.45,sunrise,178.0,shoujo,tv,10.0,41334.0,0,0,0,1,0,0,0,0,0,0
1864,7.45,otros_estudios,12.0,seinen,tv,7.0,114423.0,0,1,0,0,0,0,0,0,0,0
1865,7.45,otros_estudios,13.0,josei,tv,7.0,28596.0,0,1,0,0,0,1,0,0,0,0
1869,7.45,j_c_staff,17.649098474341194,shounen,tv,4.0,45917.0,1,0,0,0,0,0,2,0,1,0
1871,7.45,otros_estudios,12.0,shounen,tv,1.0,439762.0,0,1,0,0,0,0,0,0,1,0
1876,7.45,j_c_staff,13.0,shounen,tv,7.0,169579.0,0,1,0,0,0,0,0,0,0,0
1878,7.45,lidenfilms,12.0,shounen,tv,10.0,348417.0,1,1,0,0,0,1,0,0,0,0
1879,7.45,otros_estudios,12.0,shounen,tv,4.0,206171.0,1,1,0,0,0,1,0,0,0,0
1882,7.45,toei_animation,1.0,shoujo,movie,10.0,3464.0,1,0,0,1,0,0,1,0,0,0
1883,7.45,otros_estudios,48.0,shounen,tv,10.0,1452.0,0,0,0,0,0,0,1,0,0,0
1885,7.45,toei_animation,1.0,shounen,movie,3.0,63013.0,1,0,0,0,0,0,2,0,0,0
1886,7.45,otros_estudios,1.0,shoujo,movie,11.0,129608.0,0,0,0,0,0,2,0,0,1,0
1889,7.45,otros_estudios,1.0,seinen,movie,6.0,24790.0,1,0,0,0,0,0,0,0,1,0
1890,7.45,studio_deen,4.0,seinen,ova,9.0,25600.0,1,1,0,0,0,0,0,0,0,0
1896,7.44,pierrot,1.0,shounen,special,11.0,14290.0,0,0,0,0,0,0,2,0,0,0
1897,7.44,otros_estudios,1.0,shounen,movie,1.0,15074.0,0,1,0,0,1,0,0,0,0,0
1899,7.44,xebec,12.0,shounen,tv,7.0,249917.0,0,1,1,0,0,1,0,0,1,0
1900,7.44,shin_ei_animation,2.0,seinen,special,5.0,31676.0,0,1,0,0,0,0,0,0,0,0
1903,7.44,otros_estudios,12.0,seinen,tv,4.0,102327.0,1,1,1,0,0,0,0,0,1,0
1904,7.44,otros_estudios,23.0,shounen,tv,10.0,150224.0,0,1,0,0,0,1,0,0,1,0
1905,7.44,mappa,1.0,seinen,ona,2.0,15211.0,1,0,0,0,0,1,1,0,0,0
1907,7.44,gallop,154.0,shounen,tv,4.0,134981.0,1,0,0,0,0,0,0,0,0,0
1909,7.44,tms_entertainment,26.0,shoujo,tv,4.0,100825.0,0,1,0,0,0,2,0,0,0,0
1910,7.44,otros_estudios,1.0,seinen,movie,11.0,44768.0,1,0,0,0,0,0,0,2,1,0
1911,7.44,group_tac,52.0,shounen,tv,10.0,55429.0,0,0,0,0,1,0,0,0,0,0
1912,7.44,sunrise,1.0,shounen,movie,2.0,11259.0,1,1,0,0,0,0,0,1,0,0
1914,7.44,mappa,3.0,shounen,ova,3.0,23142.0,0,0,0,0,1,0,0,0,0,0
1915,7.44,tms_entertainment,1.0,shounen,movie,4.0,42374.0,0,1,0,0,0,0,1,1,0,0
1917,7.44,shin_ei_animation,1.0,kids,movie,3.0,10526.0,0,1,0,0,0,0,2,0,0,0
1922,7.44,otros_estudios,52.0,shoujo,tv,4.0,11566.0,0,0,0,0,0,0,1,0,0,0
1923,7.44,otros_estudios,6.0,shounen,ova,11.0,119758.0,0,0,0,0,0,1,2,1,1,0
1928,7.44,otros_estudios,1.0,shoujo,special,3.0,22476.0,0,0,0,0,0,1,0,0,0,0
1932,7.44,madhouse,12.0,shounen,tv,1.0,26764.0,0,1,0,0,0,0,0,0,1,0
1934,7.44,toei_animation,76.0,shoujo,tv,3.0,53379.0,0,1,0,0,0,2,0,0,0,0
1937,7.44,j_c_staff,13.0,seinen,tv,10.0,119806.0,0,0,0,0,0,1,0,0,1,0
1939,7.44,otros_estudios,26.0,shoujo,tv,9.0,14569.0,0,1,0,0,0,0,1,0,0,0
1943,7.44,shaft,12.0,seinen,tv,10.0,60630.0,0,1,0,1,0,0,0,0,0,0
1945,7.43,toei_animation,87.0,shounen,tv,9.0,1898.0,0,1,1,0,0,0,2,0,0,0
1948,7.43,toei_animation,50.0,shoujo,tv,2.0,20306.0,0,1,0,0,0,0,1,0,0,0
1950,7.43,j_c_staff,1.0,josei,ova,8.0,27620.0,0,1,0,1,0,1,0,0,0,0
1951,7.43,otros_estudios,1.0,josei,movie,7.0,135491.0,0,0,0,0,0,2,0,0,0,0
1952,7.43,otros_estudios,12.0,seinen,tv,1.0,41793.0,0,1,0,0,0,0,0,0,0,0
1953,7.43,shaft,26.0,shounen,tv,7.0,60780.0,0,1,0,0,0,0,0,0,0,0
1958,7.43,tms_entertainment,50.0,shounen,tv,4.0,27027.0,0,1,0,0,0,1,0,0,0,0
1960,7.43,xebec,12.0,shounen,tv,10.0,357767.0,0,1,1,0,0,1,0,0,1,0
1962,7.43,group_tac,50.0,shounen,tv,4.0,2390.0,1,1,0,0,0,1,1,0,0,0
1969,7.43,otros_estudios,1.0,shounen,special,11.0,130489.0,1,1,0,0,0,0,0,0,0,0
1971,7.43,pierrot,1.0,shounen,movie,12.0,268230.0,1,0,0,0,0,0,2,0,0,0
1972,7.43,pierrot,1.0,shounen,movie,12.0,237568.0,1,0,0,0,0,0,2,0,0,0
1974,7.43,otros_estudios,12.0,seinen,tv,4.0,98690.0,1,0,0,0,0,0,1,0,1,0
1975,7.43,toei_animation,131.0,shounen,tv,7.0,781123.0,1,1,0,0,0,0,2,0,0,2
1977,7.43,production_i_g,13.0,seinen,tv,7.0,51566.0,0,1,0,1,0,0,0,0,0,0
1979,7.43,studio_deen,12.0,josei,tv,7.0,56419.0,1,0,0,0,0,1,0,0,1,0
1982,7.43,tms_entertainment,25.0,shoujo,tv,4.0,273921.0,0,1,0,0,0,1,0,0,0,0
1986,7.42,sunrise,1.0,shounen,special,1.0,8047.0,1,1,0,0,0,0,0,1,0,0
1988,7.42,shin_ei_animation,1.0,kids,movie,3.0,5123.0,0,1,0,0,0,0,2,0,0,0
1996,7.42,otros_estudios,12.0,seinen,tv,4.0,59775.0,0,0,0,1,0,0,0,0,0,0
1998,7.42,otros_estudios,12.0,seinen,tv,7.0,57416.0,0,0,0,1,0,0,0,0,0,0
1999,7.42,otros_estudios,25.0,shoujo,tv,10.0,95968.0,0,1,0,0,0,2,0,0,0,0
2000,7.42,a_1_pictures,6.0,shounen,special,10.0,121152.0,0,1,0,0,0,0,1,0,1,0
2002,7.42,otros_estudios,26.0,shounen,tv,10.0,1936459.0,1,0,0,0,0,0,0,0,1,2
2003,7.42,lidenfilms,24.0,seinen,ona,10.0,76711.0,1,0,0,0,0,1,1,0,1,0
2005,7.42,pierrot,1.0,shounen,movie,7.0,242823.0,1,0,0,0,0,0,2,0,0,0
2006,7.42,toei_animation,49.0,shoujo,tv,2.0,20487.0,0,1,0,0,0,0,0,0,0,0
2007,7.42,otros_estudios,12.0,seinen,tv,1.0,48065.0,0,0,0,0,0,1,0,0,0,0
2008,7.42,olm,8.0,kids,ona,9.0,14966.0,0,0,0,0,0,0,2,0,0,0
2010,7.42,otros_estudios,13.0,shounen,tv,7.0,55987.0,1,1,0,0,0,0,1,0,0,0
2011,7.42,otros_estudios,12.0,shounen,tv,10.0,192580.0,0,1,0,1,0,0,0,0,0,0
2014,7.42,otros_estudios,13.0,shoujo,tv,10.0,628898.0,0,0,0,0,0,2,0,0,0,0
2018,7.42,production_i_g,1.0,shounen,movie,9.0,10880.0,0,0,0,0,1,0,0,0,0,0
2019,7.42,a_1_pictures,13.0,seinen,tv,7.0,93148.0,1,1,0,0,0,0,0,0,1,0
2021,7.42,otros_estudios,1.0,shounen,movie,2.0,7761.0,1,1,0,0,0,2,1,0,1,0
2023,7.42,tms_entertainment,1.0,shounen,movie,6.0,10567.0,0,0,0,0,1,0,0,0,0,0
2025,7.41,otros_estudios,39.0,kids,tv,10.0,2302.0,1,1,0,0,0,0,1,0,0,0
2030,7.41,lidenfilms,2.0,shounen,ova,12.0,92789.0,0,1,0,0,0,1,0,0,0,0
2032,7.41,toei_animation,58.0,shounen,tv,11.0,14507.0,0,0,0,0,1,1,0,0,0,0
2033,7.41,bones,1.0,shounen,special,2.0,26336.0,1,0,0,0,0,0,0,0,0,0
2036,7.41,shin_ei_animation,1.0,seinen,movie,4.0,5004.0,0,0,0,0,0,2,0,0,0,0
2037,7.41,shin_ei_animation,1.0,seinen,movie,4.0,6066.0,0,1,0,0,0,0,1,0,1,0
2039,7.41,tms_entertainment,1.0,shounen,ova,4.0,12079.0,0,0,0,0,0,0,0,1,0,0
2041,7.41,otros_estudios,12.0,seinen,tv,7.0,552848.0,1,0,0,0,0,1,0,0,0,0
2042,7.41,otros_estudios,1.0,seinen,movie,10.0,95116.0,1,0,0,0,0,1,0,1,1,0
2043,7.41,madhouse,13.0,josei,tv,1.0,44013.0,0,1,0,1,0,1,0,0,0,0
2048,7.41,otros_estudios,1.0,seinen,ova,10.0,38439.0,1,0,0,0,0,1,0,0,0,0
2051,7.41,toei_animation,54.0,kids,tv,1.0,3243.0,0,1,0,0,0,0,0,0,0,0
2052,7.41,studio_deen,5.0,shoujo,ova,10.0,23425.0,0,1,0,0,0,0,2,0,0,0
2053,7.41,pierrot,13.0,shounen,tv,1.0,92365.0,0,1,0,0,0,0,0,0,1,0
2055,7.41,shaft,3.0,shounen,ova,8.0,30735.0,0,1,1,0,0,1,1,0,1,0
2059,7.41,otros_estudios,12.0,shounen,tv,1.0,96256.0,0,0,0,1,0,0,0,0,0,0
2060,7.41,olm,4.0,kids,special,4.0,29980.0,1,1,0,0,0,0,2,0,0,0
2061,7.41,studio_deen,1.0,shounen,movie,8.0,20558.0,0,1,0,0,0,0,1,0,0,0
2062,7.41,otros_estudios,12.0,seinen,tv,10.0,198760.0,1,1,0,0,0,1,0,0,0,0
2063,7.41,otros_estudios,13.0,seinen,tv,1.0,34782.0,0,0,0,1,0,0,0,0,0,0
2064,7.41,otros_estudios,20.0,seinen,tv,2.0,9759.0,0,1,0,0,0,1,0,0,0,0
2065,7.41,shaft,1.0,shounen,special,1.0,16126.0,0,1,0,0,0,0,0,0,0,0
2068,7.41,otros_estudios,51.0,shoujo,tv,10.0,100689.0,0,1,0,0,0,0,1,0,0,0
2069,7.4,j_c_staff,2.0,shounen,ova,7.0,8723.0,0,0,1,0,0,1,1,0,0,0
2070,7.4,olm,25.0,shounen,tv,4.0,32472.0,0,0,0,0,1,0,0,0,0,0
2072,7.4,otros_estudios,12.0,shounen,tv,10.0,138416.0,1,1,1,0,0,0,0,0,0,0
2073,7.4,otros_estudios,1.0,seinen,ova,10.0,24623.0,0,1,0,1,0,0,0,0,0,0
2075,7.4,otros_estudios,1.0,shounen,ova,3.0,82032.0,0,1,0,0,0,0,0,0,0,0
2076,7.4,otros_estudios,3.0,kids,ona,5.0,15156.0,1,0,0,0,0,0,2,0,0,0
2077,7.4,tatsunoko_production,51.0,shoujo,tv,4.0,21274.0,0,0,0,0,1,0,0,0,0,0
2079,7.4,toei_animation,34.0,shounen,tv,2.0,13445.0,1,1,0,0,0,0,0,0,0,0
2080,7.4,shaft,1.0,shounen,special,8.0,10471.0,0,1,0,0,0,0,0,0,0,0
2081,7.4,otros_estudios,51.0,shoujo,tv,10.0,212293.0,0,1,0,0,0,0,1,0,0,0
2083,7.4,madhouse,24.0,shoujo,tv,10.0,79818.0,1,0,0,0,0,2,1,0,0,0
2085,7.4,pierrot,2.0,shounen,special,10.0,19808.0,1,1,0,0,0,0,1,0,1,0
2087,7.4,otros_estudios,13.0,seinen,tv,1.0,567301.0,1,0,0,0,0,0,0,2,1,0
2089,7.4,otros_estudios,1.0,seinen,movie,1.0,25921.0,1,0,0,0,0,0,0,0,1,0
2090,7.4,pierrot,1.0,shounen,movie,8.0,444773.0,1,0,0,0,0,0,2,0,0,0
2091,7.4,otros_estudios,52.0,shounen,tv,4.0,70376.0,0,0,0,0,1,0,0,0,0,0
2092,7.4,madhouse,26.0,seinen,tv,4.0,467399.0,0,1,1,0,0,2,0,0,1,0
2093,7.4,toei_animation,1.0,shounen,movie,3.0,209307.0,1,0,0,0,0,0,2,0,0,0
