,score,studio,number_episodes,demographics,emission_type,month,members,action,comedy,ecchi,slice_of_life,sports,drama and romance,adventure and fantasy,mystery and horror,sci_fi and supernatural,Cluster
95,8.56,tms_entertainment,25.0,shoujo,tv,4.0,463795.0,0,0,0,0,0,2,0,0,1,0
96,8.56,olm,25.0,seinen,tv,10.0,601581.0,1,0,0,0,0,1,2,1,0,0
100,8.55,brain_base,13.0,shoujo,tv,1.0,238465.0,0,0,0,1,0,1,0,0,1,0
102,8.54,production_i_g,12.0,shounen,tv,10.0,747604.0,0,0,0,0,1,0,0,0,0,2
103,8.54,shin_ei_animation,1.0,shounen,movie,6.0,56031.0,0,0,0,0,0,0,0,0,0,0
104,8.54,otros_estudios,1.0,seinen,special,1.0,132658.0,0,0,0,1,0,0,1,1,1,0
105,8.54,madhouse,47.0,shoujo,tv,4.0,613201.0,0,0,0,0,0,2,0,0,0,0
108,8.54,toei_animation,101.0,shounen,tv,10.0,280487.0,0,0,0,0,1,0,0,0,0,0
109,8.53,otros_estudios,25.0,shounen,tv,4.0,3715906.0,1,0,0,0,0,1,0,0,0,2
112,8.53,j_c_staff,25.0,shounen,tv,10.0,319749.0,0,1,0,0,0,2,0,0,0,0
115,8.52,production_i_g,26.0,seinen,tv,1.0,219810.0,1,0,0,0,0,0,0,1,1,0
116,8.52,olm,25.0,shounen,tv,4.0,422955.0,0,0,0,0,0,0,0,1,1,0
117,8.52,sunrise,1.0,shounen,movie,4.0,156094.0,1,1,0,0,0,0,0,0,1,0
118,8.52,otros_estudios,13.0,shounen,tv,10.0,189642.0,1,1,0,0,0,0,0,0,1,0
120,8.51,otros_estudios,12.0,shounen,tv,1.0,1850132.0,0,0,0,0,0,0,1,1,1,2
121,8.51,otros_estudios,26.0,shounen,tv,4.0,2772253.0,1,0,0,0,0,0,1,0,0,2
123,8.5,madhouse,12.0,seinen,tv,10.0,3035122.0,1,1,0,0,0,0,0,0,0,2
124,8.5,pierrot,1.0,shounen,ona,10.0,24991.0,1,0,0,0,0,0,1,0,0,0
125,8.5,otros_estudios,12.0,shounen,tv,4.0,2544857.0,1,0,0,0,0,1,0,0,0,2
127,8.5,otros_estudios,39.0,shounen,tv,4.0,1045308.0,1,0,0,0,0,0,1,0,1,2
128,8.5,a_1_pictures,99.0,seinen,tv,4.0,185949.0,0,1,0,0,0,0,0,0,1,0
129,8.49,toei_animation,1.0,shounen,movie,12.0,17383.0,0,0,0,0,1,0,0,0,0,0
131,8.49,otros_estudios,25.0,shounen,tv,1.0,1349569.0,1,1,0,0,0,0,0,0,0,2
132,8.49,mappa,24.0,shoujo,tv,7.0,801692.0,1,0,0,0,0,1,1,0,0,2
133,8.48,otros_estudios,13.0,shounen,tv,1.0,122885.0,0,0,0,1,0,0,1,0,1,0
134,8.48,mappa,1.0,shounen,movie,12.0,686017.0,1,0,0,0,0,0,1,0,0,0
136,8.48,madhouse,26.0,seinen,tv,4.0,378715.0,0,0,0,0,0,1,0,0,0,0
138,8.47,madhouse,24.0,josei,tv,10.0,131218.0,0,0,0,0,1,1,0,0,0,0
139,8.47,otros_estudios,2.0,shounen,special,1.0,68050.0,1,1,0,0,0,0,0,0,0,0
140,8.46,bones,13.0,seinen,tv,1.0,215476.0,1,0,0,0,0,0,0,1,1,0
141,8.46,tms_entertainment,1.0,shoujo,movie,2.0,88806.0,0,0,0,0,0,2,0,0,0,0
142,8.46,otros_estudios,26.0,shounen,tv,4.0,846719.0,0,1,0,0,0,0,0,0,0,2
143,8.46,pierrot,112.0,shounen,tv,10.0,649438.0,1,0,0,0,0,0,1,0,0,2
145,8.45,otros_estudios,12.0,seinen,tv,10.0,151221.0,1,0,0,0,0,0,1,0,0,0
152,8.44,sunrise,2.0,shounen,movie,8.0,42251.0,1,1,0,0,0,0,0,0,1,0
153,8.44,production_i_g,25.0,shounen,tv,4.0,1855207.0,0,0,0,0,1,0,0,0,0,2
154,8.44,otros_estudios,24.0,shounen,tv,1.0,1038795.0,1,0,0,0,0,0,1,0,1,2
155,8.44,shin_ei_animation,12.0,shounen,tv,1.0,168131.0,0,1,0,0,0,0,0,0,0,0
156,8.43,otros_estudios,12.0,seinen,tv,7.0,722712.0,0,1,0,0,0,0,0,0,0,0
157,8.43,otros_estudios,13.0,shounen,tv,10.0,161658.0,0,0,0,0,0,2,0,0,0,0
159,8.43,otros_estudios,1.0,seinen,special,8.0,96206.0,0,0,0,1,0,0,1,1,1,0
161,8.42,production_i_g,26.0,seinen,tv,10.0,382978.0,1,0,0,0,0,0,0,0,1,0
163,8.42,j_c_staff,120.0,shounen,tv,7.0,1025662.0,0,1,0,0,0,0,0,0,1,2
164,8.42,j_c_staff,24.0,shounen,tv,1.0,598546.0,0,1,0,0,0,0,0,0,1,0
168,8.41,otros_estudios,1.0,shoujo,movie,9.0,66922.0,0,0,0,1,0,1,0,0,1,0
170,8.41,nippon_animation,62.0,shounen,tv,10.0,560835.0,1,0,0,0,0,0,2,0,0,0
172,8.41,a_1_pictures,12.0,seinen,tv,1.0,1615255.0,0,1,0,0,0,0,0,0,0,2
173,8.4,otros_estudios,2.0,shounen,ova,8.0,81005.0,0,1,0,0,0,0,0,0,0,0
176,8.4,synergysp,25.0,shounen,tv,1.0,68598.0,0,0,0,0,1,0,0,0,0,0
177,8.4,otros_estudios,2.0,shoujo,special,9.0,43881.0,0,0,0,1,0,1,0,0,1,0
179,8.39,otros_estudios,7.0,shounen,tv,10.0,609005.0,1,0,0,0,0,0,1,0,0,0
180,8.39,madhouse,25.0,josei,tv,1.0,225996.0,0,0,0,0,1,1,0,0,0,0
181,8.39,synergysp,50.0,shounen,tv,4.0,120378.0,0,0,0,0,1,2,0,0,0,0
182,8.39,otros_estudios,12.0,seinen,tv,10.0,430097.0,1,0,0,0,0,1,1,1,0,0
183,8.39,mappa,13.0,shounen,tv,4.0,350336.0,1,0,0,0,0,0,2,0,0,0
184,8.39,tms_entertainment,4.0,shoujo,ova,8.0,157927.0,0,1,0,0,0,1,1,0,0,0
189,8.38,otros_estudios,12.0,seinen,tv,1.0,114880.0,0,0,0,1,0,0,0,0,0,0
190,8.38,shaft,22.0,seinen,tv,10.0,648762.0,0,0,0,1,0,1,0,0,0,0
194,8.37,otros_estudios,24.0,shounen,tv,10.0,523101.0,0,0,0,0,1,0,0,0,0,0
195,8.37,bones,25.0,shounen,tv,10.0,520452.0,1,0,0,0,0,0,0,0,0,0
201,8.36,tms_entertainment,11.0,shounen,tv,4.0,296667.0,0,1,0,0,0,0,1,0,1,0
202,8.36,brain_base,20.0,shounen,tv,4.0,803220.0,0,0,0,0,0,1,1,0,1,2
203,8.36,production_i_g,13.0,shounen,tv,1.0,867987.0,0,0,0,0,1,0,0,0,0,2
205,8.36,production_i_g,11.0,josei,tv,7.0,477711.0,0,0,0,1,0,0,0,0,0,0
207,8.35,j_c_staff,25.0,shounen,tv,10.0,342499.0,0,1,0,0,0,2,0,0,0,0
209,8.35,madhouse,10.0,seinen,ova,2.0,882118.0,1,0,0,0,0,0,0,1,1,2
212,8.34,madhouse,24.0,seinen,tv,10.0,1768654.0,1,0,0,0,0,0,0,1,1,2
215,8.33,sunrise,6.0,shounen,ova,2.0,68764.0,1,0,0,0,0,0,0,0,1,0
216,8.33,pierrot,39.0,seinen,tv,6.0,116695.0,1,0,0,0,0,0,0,0,0,0
217,8.33,synergysp,25.0,shounen,tv,4.0,60670.0,0,0,0,0,1,0,0,0,0,0
218,8.33,brain_base,1.0,shoujo,ova,2.0,76911.0,0,0,0,1,0,1,0,0,1,0
219,8.33,madhouse,25.0,seinen,tv,10.0,227867.0,0,0,0,0,1,0,0,0,0,0
220,8.33,otros_estudios,13.0,shounen,tv,10.0,742076.0,1,1,0,0,0,0,0,0,0,2
223,8.33,tokyo_movie_shinsha,40.0,shoujo,tv,10.0,91399.0,0,0,0,0,0,2,0,0,0,0
227,8.33,gallop,26.0,seinen,tv,4.0,349059.0,1,0,0,0,0,1,0,0,0,0
230,8.32,otros_estudios,2.0,shoujo,special,3.0,43186.0,0,0,0,1,0,1,0,0,1,0
235,8.31,brain_base,13.0,shoujo,tv,7.0,515738.0,0,0,0,1,0,1,0,0,1,0
237,8.31,otros_estudios,12.0,josei,tv,4.0,366749.0,0,0,0,0,0,2,0,0,0,0
239,8.31,a_1_pictures,12.0,seinen,tv,1.0,1978528.0,0,0,0,0,0,0,0,1,1,2
241,8.31,nippon_animation,8.0,shounen,ova,1.0,121963.0,1,0,0,0,0,0,2,0,0,0
242,8.3,tms_entertainment,1.0,shounen,movie,4.0,74148.0,0,0,0,0,0,0,1,1,0,0
243,8.3,production_i_g,51.0,shounen,tv,4.0,131520.0,0,0,0,0,1,0,0,0,0,0
246,8.3,production_i_g,25.0,shounen,tv,1.0,723282.0,0,0,0,0,1,0,0,0,0,0
248,8.29,synergysp,2.0,shounen,ova,12.0,35426.0,0,0,0,0,1,0,0,0,0,0
249,8.29,gallop,94.0,shounen,tv,1.0,474714.0,1,1,0,0,0,1,1,0,0,0
252,8.29,otros_estudios,79.0,shounen,tv,4.0,84750.0,0,0,0,0,1,1,0,0,0,0
253,8.29,madhouse,26.0,shounen,tv,10.0,324257.0,0,1,0,1,0,1,0,0,0,0
255,8.29,tms_entertainment,24.0,shounen,tv,7.0,1610745.0,0,1,0,0,0,0,1,0,1,2
256,8.29,sunrise,1.0,shounen,special,12.0,41831.0,1,1,0,0,0,0,0,0,1,0
257,8.29,brain_base,1.0,shoujo,movie,9.0,786170.0,0,0,0,0,0,2,0,0,1,0
259,8.28,production_i_g,3.0,shounen,ova,11.0,92840.0,1,0,0,0,0,2,2,0,0,0
260,8.28,toei_animation,14.0,shounen,tv,10.0,103097.0,1,0,0,0,0,0,0,0,1,0
265,8.28,tms_entertainment,1.0,shounen,special,7.0,208647.0,0,1,0,0,0,0,1,0,1,0
268,8.28,synergysp,4.0,seinen,tv,5.0,130644.0,0,0,0,0,0,0,0,0,0,0
269,8.27,a_1_pictures,11.0,shounen,tv,1.0,140800.0,0,1,0,0,0,0,0,0,0,0
270,8.27,brain_base,13.0,seinen,tv,4.0,75070.0,1,0,0,0,0,0,1,0,0,0
271,8.27,madhouse,26.0,seinen,tv,10.0,336692.0,0,0,0,0,0,0,0,0,0,0
274,8.27,production_i_g,13.0,shounen,tv,4.0,223406.0,0,0,0,0,0,0,0,1,0,0
276,8.27,production_i_g,1.0,seinen,movie,11.0,599087.0,1,0,0,0,0,0,0,1,1,0
277,8.27,j_c_staff,23.0,josei,tv,1.0,305113.0,0,1,0,0,0,1,0,0,0,0
279,8.26,pierrot,500.0,shounen,tv,2.0,2328935.0,1,0,0,0,0,0,2,0,0,2
280,8.26,sunrise,26.0,seinen,tv,10.0,241755.0,0,0,0,0,0,2,0,0,1,0
282,8.26,madhouse,52.0,shounen,tv,4.0,84161.0,0,0,0,0,1,0,0,0,0,0
283,8.26,madhouse,1.0,shounen,special,4.0,127345.0,0,0,0,0,1,0,0,0,0,0
284,8.26,nippon_animation,14.0,shounen,ova,3.0,138637.0,1,0,0,0,0,0,2,0,0,0
287,8.25,a_1_pictures,1.0,shounen,movie,1.0,184333.0,1,1,0,0,0,0,0,1,1,0
288,8.25,otros_estudios,1.0,seinen,movie,8.0,73375.0,0,0,0,1,0,0,0,0,0,0
291,8.25,otros_estudios,12.0,seinen,tv,1.0,917789.0,0,0,0,0,0,1,0,0,0,2
296,8.25,madhouse,26.0,seinen,tv,4.0,184513.0,0,0,0,0,0,0,0,0,0,0
298,8.24,production_i_g,24.0,seinen,tv,4.0,179756.0,0,0,0,0,1,0,0,0,0,0
300,8.24,tms_entertainment,1.0,shounen,special,12.0,29227.0,0,1,0,0,0,0,1,1,0,0
301,8.24,otros_estudios,24.0,shounen,tv,1.0,1134554.0,1,0,0,0,0,0,1,0,1,2
302,8.24,otros_estudios,12.0,seinen,tv,10.0,186660.0,1,0,0,0,0,0,1,0,0,0
307,8.23,lidenfilms,10.0,seinen,ona,3.0,127428.0,0,1,0,1,0,0,0,0,0,0
308,8.23,otros_estudios,26.0,shounen,tv,1.0,66966.0,0,0,0,0,1,0,0,0,0,0
309,8.23,j_c_staff,11.0,josei,tv,1.0,124765.0,0,1,0,0,0,1,0,0,0,0
312,8.23,madhouse,1.0,shounen,ova,9.0,101758.0,0,0,0,0,1,0,0,0,0,0
313,8.22,bones,12.0,seinen,tv,4.0,573757.0,1,0,0,0,0,0,0,1,1,0
314,8.22,tms_entertainment,25.0,shoujo,tv,4.0,763295.0,0,0,0,0,0,2,0,0,1,0
315,8.22,mappa,1.0,seinen,movie,11.0,177583.0,0,0,0,0,0,1,0,0,0,0
316,8.22,production_i_g,25.0,shounen,tv,10.0,814534.0,0,0,0,0,1,0,0,0,0,2
317,8.22,a_1_pictures,25.0,shounen,tv,10.0,810263.0,1,0,0,0,0,0,2,0,0,2
320,8.22,otros_estudios,26.0,shounen,tv,11.0,97743.0,0,0,0,0,1,0,0,0,0,0
321,8.22,otros_estudios,1.0,shoujo,movie,7.0,333995.0,0,0,0,0,0,2,0,0,0,0
322,8.22,toei_animation,1.0,shounen,movie,8.0,168082.0,1,0,0,0,0,0,2,0,0,0
324,8.22,tatsunoko_production,77.0,shounen,tv,4.0,218639.0,0,1,0,0,0,0,0,0,0,0
325,8.22,madhouse,26.0,shounen,tv,4.0,720760.0,1,0,0,0,0,0,1,0,1,0
326,8.21,otros_estudios,78.0,kids,tv,4.0,25241.0,0,1,0,1,0,0,2,0,0,0
328,8.21,production_i_g,13.0,seinen,tv,4.0,137914.0,0,1,0,0,0,1,0,1,1,0
330,8.21,madhouse,1.0,shoujo,movie,7.0,111437.0,0,1,0,0,0,2,1,0,0,0
331,8.21,tokyo_movie_shinsha,1.0,shounen,movie,4.0,56846.0,1,0,0,0,0,0,0,1,0,0
334,8.21,tms_entertainment,12.0,shoujo,tv,1.0,379494.0,0,1,0,0,0,1,1,0,0,0
336,8.2,otros_estudios,26.0,shounen,tv,12.0,69498.0,0,0,0,0,1,0,0,0,0,0
341,8.2,j_c_staff,1.0,shounen,special,12.0,203955.0,0,1,0,0,0,0,0,0,1,0
343,8.2,otros_estudios,12.0,seinen,tv,4.0,113429.0,0,0,0,0,0,1,0,0,0,0
344,8.2,bones,12.0,shounen,tv,1.0,243566.0,1,0,0,0,0,0,1,1,0,0
345,8.2,otros_estudios,1.0,seinen,movie,2.0,212333.0,1,0,0,0,0,1,2,1,0,0
346,8.2,j_c_staff,12.0,josei,tv,6.0,103854.0,0,0,0,0,0,2,0,0,0,0
347,8.2,otros_estudios,13.0,shounen,tv,1.0,1222002.0,0,0,0,0,0,1,0,0,0,2
348,8.2,sunrise,26.0,shounen,tv,10.0,270512.0,1,0,0,0,0,1,2,0,0,0
349,8.2,otros_estudios,12.0,shounen,ona,12.0,441207.0,1,0,0,0,0,0,1,0,1,0
350,8.19,otros_estudios,12.0,seinen,tv,7.0,445904.0,0,1,0,0,0,0,0,0,0,0
351,8.19,j_c_staff,25.0,shounen,tv,10.0,599983.0,0,1,0,0,0,2,0,0,0,0
352,8.19,bones,12.0,seinen,tv,10.0,791642.0,1,0,0,0,0,0,0,1,1,2
353,8.19,madhouse,25.0,josei,tv,10.0,440888.0,0,0,0,0,1,1,0,0,0,0
355,8.19,production_i_g,1.0,shounen,movie,9.0,76572.0,0,0,0,0,1,0,0,0,0,0
358,8.19,studio_deen,96.0,seinen,tv,3.0,68176.0,0,1,0,0,0,2,0,0,0,0
359,8.19,synergysp,26.0,shounen,tv,1.0,63318.0,0,0,0,0,1,0,0,0,0,0
360,8.19,toei_animation,1.0,shounen,special,8.0,58293.0,1,0,0,0,0,0,2,0,0,0
364,8.19,production_i_g,2.0,seinen,ova,4.0,66998.0,0,0,0,0,0,0,0,1,1,0
367,8.18,production_i_g,24.0,shounen,tv,7.0,314376.0,0,0,0,0,1,0,0,0,0,0
372,8.18,nippon_animation,8.0,shounen,ova,2.0,149201.0,1,0,0,0,0,0,2,0,0,0
374,8.18,otros_estudios,12.0,seinen,tv,7.0,192375.0,0,0,0,1,0,0,0,0,0,0
