,score
10504,5.6
10325,5.65
6800,6.43
5924,6.59
7276,6.33
1941,7.44
7182,6.35
7443,6.3
10633,5.56
2714,7.26
2239,7.36
3717,7.06
10985,5.44
3921,7.02
5937,6.59
11986,4.95
455,8.1
5466,6.68
7076,6.37
6321,6.52
11337,5.31
6021,6.57
3822,7.04
1041,7.74
5778,6.62
9599,5.84
4220,6.94
173,8.4
9236,5.93
2344,7.34
3014,7.2
7050,6.38
9565,5.85
960,7.78
8269,6.13
5787,6.62
5559,6.66
883,7.82
8257,6.14
6678,6.45
7360,6.32
5957,6.58
8617,6.07
7550,6.28
9881,5.77
8912,6.0
10435,5.62
3464,7.12
9878,5.77
4238,6.94
4299,6.93
2459,7.31
4738,6.83
7506,6.29
11725,5.12
1160,7.69
4519,6.87
8509,6.09
10101,5.71
7252,6.34
5379,6.7
3772,7.05
3206,7.17
3928,7.02
8724,6.04
3559,7.1
7586,6.28
6880,6.41
1147,7.7
6487,6.49
8241,6.14
6415,6.5
10803,5.5
10777,5.51
5942,6.59
11085,5.41
7936,6.21
3919,7.02
3884,7.03
3463,7.12
7417,6.31
8067,6.18
1501,7.56
10685,5.54
12148,4.8
5748,6.62
5477,6.68
9770,5.79
2732,7.26
7917,6.21
8302,6.13
11582,5.2
6104,6.55
7363,6.32
4029,6.99
4962,6.78
3601,7.09
9085,5.97
5681,6.64
9870,5.77
7195,6.35
9489,5.87
5461,6.68
9336,5.91
1472,7.57
11287,5.33
4884,6.79
12503,4.06
3015,7.2
2685,7.27
5096,6.75
5992,6.58
578,8.01
1511,7.56
10799,5.51
5514,6.67
5508,6.67
7204,6.35
414,8.14
5785,6.62
6994,6.39
4900,6.79
9634,5.83
426,8.13
621,7.97
12010,4.92
4024,7.0
8882,6.01
265,8.28
8216,6.14
8168,6.15
5613,6.65
10512,5.6
9933,5.75
2453,7.31
7244,6.34
8788,6.03
2088,7.4
12145,4.8
2142,7.38
3355,7.14
8184,6.15
1082,7.72
1671,7.52
12146,4.8
6951,6.4
5412,6.69
1971,7.43
4102,6.97
7759,6.24
694,7.92
4667,6.84
10697,5.54
9820,5.78
12244,4.7
12406,4.46
3978,7.01
10500,5.6
4400,6.9
6571,6.47
7743,6.25
6598,6.46
7523,6.29
5580,6.65
9113,5.96
7923,6.21
10628,5.56
1463,7.57
6735,6.44
8523,6.09
10241,5.68
9691,5.82
11932,4.99
10963,5.45
9971,5.74
11067,5.41
2884,7.23
7911,6.21
6705,6.45
10191,5.69
7234,6.35
2046,7.41
5437,6.68
1254,7.65
952,7.78
5324,6.71
11670,5.16
4003,7.0
6177,6.54
10282,5.66
1718,7.5
8661,6.06
9341,5.91
11672,5.16
8700,6.05
10182,5.69
10626,5.56
4233,6.94
7067,6.38
9192,5.94
9396,5.9
9480,5.87
1056,7.73
1146,7.7
3858,7.03
1937,7.44
5404,6.69
1031,7.75
6827,6.42
12321,4.61
8565,6.08
6577,6.47
4123,6.97
96,8.56
3043,7.2
6211,6.54
12073,4.87
1042,7.74
8890,6.01
1592,7.54
3027,7.2
3369,7.14
2818,7.24
12219,4.73
8425,6.11
3914,7.02
12414,4.43
3,9.08
10417,5.62
2791,7.25
10295,5.66
4189,6.95
7134,6.36
439,8.11
8685,6.05
11885,5.03
10409,5.63
9736,5.8
11955,4.97
88,8.58
3576,7.1
7915,6.21
3468,7.12
274,8.27
1281,7.64
11108,5.4
6086,6.56
11751,5.11
3487,7.11
5614,6.65
8784,6.03
12422,4.41
7690,6.26
4880,6.79
415,8.14
2534,7.3
2250,7.36
8248,6.14
2554,7.29
710,7.91
4562,6.87
8908,6.01
407,8.14
6377,6.51
10360,5.64
11290,5.33
12093,4.85
12390,4.5
11855,5.05
8573,6.08
7371,6.32
2471,7.31
6074,6.56
8904,6.01
7136,6.36
1523,7.56
11832,5.07
1110,7.71
10337,5.65
1406,7.59
7055,6.38
5652,6.64
4394,6.9
12410,4.44
10099,5.71
3070,7.19
6706,6.45
11599,5.19
633,7.96
9388,5.9
11887,5.03
2168,7.38
5438,6.68
9694,5.82
131,8.49
9329,5.91
10218,5.68
10045,5.72
774,7.88
3912,7.02
8412,6.11
469,8.09
4829,6.8
11492,5.24
8976,5.99
12546,3.61
8598,6.07
3508,7.11
7393,6.31
12591,2.58
563,8.02
1905,7.44
5700,6.64
3608,7.09
5082,6.75
1576,7.54
11094,5.4
5664,6.64
2993,7.21
3467,7.12
6950,6.4
79,8.61
12124,4.82
12194,4.76
2380,7.33
4192,6.95
12035,4.9
11262,5.34
4501,6.88
2628,7.28
9058,5.97
11116,5.39
10186,5.69
1904,7.44
4475,6.88
1851,7.46
6554,6.47
5781,6.62
12549,3.58
3528,7.1
7699,6.25
1145,7.7
6399,6.5
10148,5.7
6005,6.57
10363,5.64
8725,6.04
852,7.84
1494,7.56
10425,5.62
6220,6.53
4119,6.97
6935,6.4
1805,7.47
2288,7.35
8138,6.16
12552,3.57
5171,6.73
188,8.38
1123,7.71
2444,7.32
11691,5.14
5211,6.73
6069,6.56
1594,7.54
7475,6.3
4385,6.91
500,8.07
3033,7.2
7893,6.22
9722,5.81
11044,5.42
2231,7.36
8965,5.99
6258,6.53
590,8.0
9819,5.78
5676,6.64
11452,5.26
6270,6.53
2075,7.4
5464,6.68
11269,5.34
4028,7.0
9895,5.76
777,7.87
12278,4.67
2347,7.34
2487,7.31
1194,7.67
8581,6.08
10032,5.73
9683,5.82
2304,7.35
8185,6.15
3461,7.12
11144,5.38
1113,7.71
6118,6.55
3573,7.1
9112,5.96
5286,6.72
7259,6.34
3804,7.04
10855,5.49
7520,6.29
3855,7.03
565,8.02
6147,6.54
1803,7.47
5996,6.57
7387,6.31
1642,7.52
6227,6.53
5814,6.61
7514,6.29
3621,7.08
6925,6.4
46,8.72
1149,7.7
7066,6.38
8687,6.05
8344,6.12
765,7.88
8131,6.16
4194,6.95
1566,7.55
6790,6.43
9861,5.77
6505,6.48
7539,6.29
7589,6.28
2771,7.25
9399,5.88
4606,6.86
4291,6.93
1011,7.75
5822,6.61
9863,5.77
3955,7.01
7442,6.3
8037,6.18
6572,6.47
7267,6.34
7701,6.25
6096,6.56
10304,5.66
11800,5.08
2874,7.23
10266,5.67
10687,5.54
7293,6.33
10796,5.51
10192,5.69
6627,6.46
1345,7.62
1444,7.58
9894,5.76
5234,6.72
3295,7.15
2422,7.32
80,8.61
11315,5.32
6369,6.51
335,8.21
3455,7.12
10415,5.62
5467,6.68
1572,7.54
8618,6.07
10909,5.47
879,7.82
2540,7.3
10756,5.52
1509,7.56
1896,7.44
5046,6.76
9224,5.94
9180,5.94
9647,5.83
1845,7.46
111,8.53
472,8.09
11788,5.09
5688,6.64
7459,6.3
11226,5.35
4338,6.92
10474,5.61
1183,7.68
11143,5.38
7775,6.24
4115,6.97
11323,5.32
2108,7.39
5353,6.7
4295,6.93
7541,6.29
6778,6.43
12134,4.81
12359,4.55
9243,5.93
11838,5.07
3524,7.1
3475,7.12
5706,6.63
11182,5.37
11084,5.41
4828,6.81
10792,5.51
4925,6.79
5359,6.7
7831,6.23
4864,6.8
8035,6.18
1193,7.67
45,8.73
976,7.77
10212,5.68
2955,7.22
1578,7.54
9750,5.8
10605,5.57
8217,6.14
1584,7.54
2974,7.21
9318,5.91
10747,5.53
8919,6.0
7445,6.3
9640,5.83
6464,6.49
10608,5.56
315,8.22
10801,5.5
12112,4.83
7194,6.35
9830,5.78
5022,6.76
1624,7.53
5916,6.59
3399,7.13
5725,6.63
4467,6.88
5153,6.74
9534,5.86
8456,6.1
1071,7.73
4454,6.89
10919,5.47
9798,5.79
11110,5.4
10456,5.61
11625,5.18
409,8.14
9619,5.84
37,8.77
3115,7.19
576,8.01
9786,5.79
2751,7.26
12502,4.07
713,7.91
7551,6.28
9377,5.9
1087,7.72
11654,5.17
2335,7.34
4754,6.82
5566,6.66
5582,6.65
1454,7.57
10237,5.68
12514,3.98
3437,7.12
881,7.82
1710,7.5
10972,5.45
12405,4.46
3288,7.15
6746,6.44
3068,7.2
2245,7.36
9809,5.79
3425,7.13
6053,6.56
5735,6.63
8891,6.01
7298,6.33
10128,5.7
4030,6.99
4877,6.8
8260,6.14
1597,7.54
10354,5.64
1097,7.72
394,8.16
10058,5.72
1901,7.44
4053,6.99
11356,5.31
1180,7.68
9825,5.78
1911,7.44
3546,7.1
8379,6.11
2214,7.37
7757,6.24
7464,6.3
8953,5.99
11031,5.43
11321,5.32
5914,6.59
8271,6.13
8695,6.05
8603,6.07
11115,5.39
9036,5.97
10334,5.65
1691,7.51
5028,6.76
4608,6.86
123,8.5
7281,6.33
1952,7.43
10788,5.51
6350,6.51
10776,5.51
10624,5.56
8384,6.11
2984,7.21
2760,7.25
10815,5.5
10427,5.62
5049,6.76
11680,5.15
10503,5.6
8826,6.02
9121,5.96
5100,6.75
4710,6.83
8552,6.08
1891,7.45
9290,5.92
4972,6.77
7438,6.3
295,8.25
3997,7.0
12467,4.26
4785,6.82
3540,7.1
1785,7.48
9675,5.82
286,8.25
7222,6.35
12059,4.88
1758,7.49
11028,5.43
1284,7.64
5079,6.75
9021,5.98
10637,5.56
12449,4.33
11364,5.3
8485,6.09
3691,7.07
6107,6.55
9254,5.93
549,8.03
2981,7.21
2952,7.22
6143,6.54
3299,7.15
4890,6.79
11517,5.23
5522,6.67
4830,6.8
8748,6.04
2586,7.29
6946,6.4
11393,5.29
5123,6.74
5180,6.73
12226,4.72
4532,6.87
5357,6.7
2377,7.33
11640,5.17
4288,6.93
3706,7.06
4789,6.82
10455,5.61
5812,6.61
3693,7.07
12496,4.13
11256,5.34
7752,6.24
3482,7.12
3592,7.09
2585,7.29
1303,7.63
2943,7.22
6187,6.54
9723,5.81
7255,6.34
8620,6.07
9321,5.91
8593,6.07
2935,7.22
11631,5.18
8124,6.16
8606,6.07
1613,7.53
9898,5.76
3852,7.03
3090,7.19
11313,5.32
7289,6.33
12084,4.86
11839,5.07
11584,5.2
5380,6.7
467,8.09
7912,6.21
8440,6.1
7367,6.32
7713,6.25
11409,5.28
106,8.54
5932,6.59
5769,6.62
2638,7.28
9102,5.96
11123,5.39
4793,6.81
11175,5.37
411,8.14
9887,5.77
12381,4.51
10650,5.56
7767,6.24
5837,6.61
11187,5.37
6366,6.51
3449,7.12
3971,7.01
5563,6.66
7072,6.37
12144,4.8
10083,5.71
9950,5.75
4398,6.9
1862,7.45
3532,7.1
11566,5.2
12192,4.76
2360,7.33
8934,6.0
2133,7.38
8151,6.16
2406,7.32
29,8.81
6444,6.5
12537,3.75
6518,6.48
4404,6.9
568,8.02
6884,6.41
5955,6.58
3702,7.06
1245,7.65
10194,5.69
11496,5.24
1458,7.57
8104,6.17
1835,7.46
316,8.22
108,8.54
11236,5.35
4347,6.91
11155,5.38
3474,7.12
9303,5.92
9463,5.88
9709,5.81
11931,4.99
12325,4.6
12567,3.33
10642,5.56
3946,7.01
2678,7.27
4959,6.78
4237,6.94
2715,7.26
12367,4.52
3107,7.19
3751,7.05
12132,4.81
12266,4.68
3088,7.19
6896,6.41
11345,5.31
973,7.77
6252,6.53
12530,3.81
11033,5.43
7646,6.27
10084,5.71
5418,6.69
7773,6.24
1374,7.6
11035,5.43
3668,7.07
9890,5.76
8852,6.02
4099,6.98
12474,4.21
7362,6.32
12199,4.75
10,9.04
6348,6.51
3776,7.05
6192,6.54
1426,7.58
12416,4.43
8678,6.05
10046,5.72
718,7.91
6130,6.55
3813,7.04
6266,6.53
12382,4.5
6794,6.43
735,7.9
5224,6.73
9629,5.84
323,8.22
10315,5.65
2140,7.38
4714,6.83
5239,6.72
909,7.8
2627,7.28
6345,6.51
496,8.07
9609,5.84
12142,4.8
5844,6.6
8650,6.06
10038,5.72
1206,7.67
11071,5.41
5015,6.77
4722,6.83
6186,6.54
1195,7.67
6918,6.4
6849,6.42
7038,6.38
3688,7.07
12479,4.2
7942,6.2
7080,6.37
288,8.25
3154,7.18
7201,6.35
5026,6.76
4256,6.94
8480,6.1
12089,4.85
388,8.16
836,7.84
9269,5.92
3819,7.04
280,8.26
2932,7.22
7338,6.32
6271,6.53
11336,5.31
6743,6.44
1112,7.71
6890,6.41
10839,5.49
10536,5.59
11776,5.09
11783,5.09
7046,6.38
4489,6.88
267,8.28
5528,6.67
1598,7.54
9069,5.97
7349,6.32
7862,6.22
3488,7.11
3909,7.02
2995,7.21
9784,5.79
5430,6.69
4359,6.91
7219,6.35
1379,7.6
10159,5.7
9921,5.76
416,8.14
3721,7.06
12223,4.73
1962,7.43
620,7.97
1703,7.5
8849,6.01
4162,6.96
8316,6.13
3315,7.15
6912,6.41
4949,6.78
10197,5.69
2516,7.3
5218,6.73
12534,3.76
7498,6.29
1190,7.68
9586,5.85
8304,6.13
5549,6.66
11362,5.3
5958,6.58
4477,6.88
3570,7.1
4822,6.81
6926,6.4
1506,7.56
11556,5.21
10910,5.47
5145,6.74
4387,6.91
9205,5.94
4684,6.84
12285,4.66
794,7.86
730,7.9
11404,5.28
6630,6.46
6637,6.46
3872,7.03
10382,5.63
2626,7.28
8159,6.16
4731,6.83
1745,7.49
9674,5.82
11276,5.34
4953,6.78
12292,4.65
2709,7.27
4792,6.81
3297,7.15
2675,7.27
1199,7.67
10153,5.7
6334,6.52
7861,6.22
6081,6.56
6569,6.47
11348,5.31
1889,7.45
5800,6.61
3615,7.09
12200,4.75
32,8.8
10861,5.49
9197,5.94
1336,7.62
4688,6.84
10783,5.51
10324,5.65
4561,6.87
9012,5.98
1610,7.53
939,7.79
7100,6.37
4919,6.79
4411,6.9
4504,6.88
9297,5.92
745,7.89
4794,6.81
1486,7.57
11268,5.34
605,7.98
1741,7.49
7386,6.31
1533,7.55
2651,7.28
11912,5.01
7272,6.34
4403,6.9
3002,7.21
1821,7.47
11037,5.43
1330,7.62
10688,5.54
957,7.78
2110,7.39
5720,6.63
7328,6.32
8524,6.09
12384,4.5
1660,7.52
1026,7.75
8163,6.16
3222,7.17
1247,7.65
11200,5.36
9452,5.88
655,7.95
623,7.97
8171,6.15
6965,6.4
8899,6.01
4077,6.98
2199,7.37
10384,5.63
4885,6.79
4680,6.84
6825,6.42
10945,5.46
9621,5.84
8612,6.07
7630,6.27
8218,6.14
8952,5.99
2625,7.28
10710,5.54
9602,5.84
9706,5.81
2928,7.22
1746,7.49
5545,6.66
2873,7.23
9922,5.76
3421,7.13
2457,7.31
9960,5.75
8975,5.99
76,8.62
5183,6.73
11596,5.19
8459,6.1
2698,7.27
5424,6.69
9429,5.89
6954,6.4
6690,6.45
2260,7.36
1775,7.48
3233,7.16
3207,7.17
93,8.57
10906,5.47
8576,6.08
6181,6.54
8991,5.99
12483,4.19
5532,6.66
714,7.91
1076,7.73
8704,6.05
5264,6.72
4265,6.94
2015,7.42
6014,6.57
1885,7.45
6388,6.51
8751,6.04
12116,4.83
6756,6.44
7422,6.31
9095,5.96
1488,7.56
5605,6.65
9107,5.96
8404,6.11
7499,6.29
8909,6.01
2759,7.25
5317,6.71
6978,6.39
1437,7.58
1233,7.66
185,8.39
6277,6.52
6757,6.44
2465,7.31
3485,7.11
3387,7.13
4687,6.84
1297,7.63
3599,7.09
7633,6.27
4807,6.81
449,8.11
3873,7.03
2960,7.22
12030,4.9
8913,6.0
4046,6.99
6428,6.49
7666,6.26
381,8.17
9282,5.92
1155,7.7
7180,6.36
8201,6.15
4508,6.88
1728,7.49
3274,7.16
10013,5.73
2425,7.32
2727,7.26
5441,6.68
1253,7.65
4783,6.82
3827,7.04
2503,7.3
5434,6.69
6044,6.56
11431,5.27
3989,7.0
8204,6.15
11522,5.23
3160,7.18
1612,7.53
11633,5.18
2191,7.37
1729,7.49
11973,4.96
6323,6.52
12341,4.58
3842,7.03
7017,6.39
8715,6.04
7476,6.3
530,8.04
4580,6.86
10979,5.45
5749,6.62
12326,4.6
6088,6.56
4786,6.82
7199,6.35
8778,6.03
7535,6.29
9644,5.83
4253,6.94
11434,5.27
7741,6.25
12007,4.92
144,8.45
3894,7.03
5173,6.73
9425,5.89
7581,6.28
2755,7.26
2492,7.31
3139,7.18
7049,6.38
6237,6.53
8539,6.08
3773,7.05
10722,5.53
5786,6.62
4202,6.95
2889,7.23
10104,5.71
9301,5.92
788,7.87
5714,6.63
6930,6.4
2676,7.27
10502,5.6
5013,6.77
2030,7.41
5284,6.72
8970,5.99
9568,5.85
8902,6.01
3710,7.06
4073,6.98
4985,6.77
431,8.12
9531,5.86
1780,7.48
6387,6.51
7766,6.24
4526,6.87
6062,6.56
349,8.2
3231,7.16
4129,6.97
2909,7.23
7369,6.32
42,8.74
9931,5.75
981,7.77
2312,7.34
10750,5.53
3753,7.05
5952,6.58
3405,7.13
5369,6.7
9252,5.93
4089,6.98
12097,4.84
12594,2.3
10085,5.71
12427,4.4
7756,6.24
11683,5.15
11416,5.27
916,7.8
5620,6.65
7093,6.37
8690,6.05
8657,6.06
1616,7.53
2846,7.24
4948,6.78
9002,5.98
9985,5.74
8290,6.13
1833,7.46
9311,5.91
8215,6.14
3988,7.0
9209,5.94
3742,7.06
8094,6.17
9075,5.97
782,7.87
591,8.0
1156,7.7
1536,7.55
10984,5.44
6357,6.51
11842,5.06
8108,6.17
7500,6.29
7974,6.2
2401,7.33
6440,6.5
3411,7.13
4216,6.95
5312,6.71
2152,7.38
6597,6.46
3877,7.03
11593,5.19
4064,6.98
9806,5.79
12181,4.77
9245,5.93
2816,7.24
4191,6.95
4605,6.86
3547,7.1
10198,5.69
6535,6.48
6853,6.42
3447,7.12
4344,6.92
5113,6.75
8222,6.14
9319,5.91
8432,6.1
3023,7.2
11681,5.15
3279,7.15
5281,6.72
1731,7.49
7814,6.23
11988,4.95
8543,6.08
5568,6.66
1870,7.45
2804,7.24
5400,6.69
2211,7.37
10609,5.56
5852,6.6
3133,7.18
168,8.41
3492,7.11
5531,6.66
8014,6.19
9451,5.88
8169,6.15
9448,5.88
11136,5.39
2107,7.39
5674,6.64
7598,6.27
12054,4.88
3034,7.2
4128,6.97
7600,6.27
7439,6.3
567,8.02
10970,5.45
3286,7.15
5862,6.6
2367,7.33
7249,6.34
9701,5.81
10938,5.46
6929,6.4
440,8.11
2018,7.42
10610,5.56
11996,4.94
6923,6.4
11406,5.28
8663,6.06
11258,5.34
6494,6.49
5125,6.74
5340,6.71
8270,6.13
1224,7.66
12344,4.58
2592,7.29
3247,7.16
2753,7.26
6386,6.51
8496,6.09
11134,5.39
2691,7.27
36,8.77
4772,6.82
12511,4.02
7753,6.24
2249,7.36
7091,6.37
5692,6.64
8517,6.09
3520,7.11
7319,6.33
6902,6.41
4584,6.86
6857,6.42
8305,6.13
4031,6.99
8083,6.17
6315,6.52
7963,6.2
1360,7.61
5496,6.67
6174,6.54
7582,6.28
3282,7.15
486,8.08
8348,6.13
10946,5.46
4779,6.82
11320,5.32
5761,6.62
7505,6.29
4093,6.98
637,7.96
9270,5.92
5095,6.75
9690,5.82
5834,6.61
3238,7.16
4862,6.8
6148,6.54
3541,7.1
6025,6.57
7403,6.31
12566,3.33
9349,5.9
11040,5.42
5803,6.61
167,8.41
1915,7.44
3574,7.1
7410,6.31
9182,5.94
3669,7.07
10993,5.44
3470,7.12
11063,5.42
801,7.86
2138,7.38
7799,6.23
3707,7.06
742,7.89
6877,6.41
5872,6.6
3635,7.08
7660,6.26
5361,6.7
8536,6.09
8280,6.13
10307,5.66
11773,5.1
4602,6.86
8464,6.1
6373,6.51
2847,7.24
5981,6.58
2478,7.31
715,7.91
2957,7.22
6290,6.52
12273,4.67
8240,6.14
6920,6.4
9340,5.91
12268,4.68
4739,6.83
9953,5.75
2089,7.4
3780,7.05
12564,3.35
5762,6.62
6085,6.56
5547,6.66
1834,7.46
7735,6.25
6817,6.42
10275,5.67
11295,5.33
4381,6.91
11373,5.3
5140,6.74
9286,5.92
2485,7.31
4850,6.8
7700,6.25
12445,4.34
4618,6.85
1886,7.45
3003,7.21
23,8.88
9267,5.92
9278,5.92
8301,6.13
8872,6.01
1309,7.63
10723,5.53
9238,5.93
789,7.87
3777,7.05
10587,5.57
10054,5.72
10021,5.73
7894,6.22
3219,7.17
3798,7.04
2514,7.3
11280,5.33
3931,7.02
8850,6.02
9232,5.93
10591,5.57
9292,5.92
3954,7.01
10819,5.5
1957,7.43
3973,7.01
12029,4.9
10712,5.54
7905,6.21
7518,6.29
3652,7.07
6862,6.41
1395,7.59
9464,5.88
7949,6.2
8149,6.16
10009,5.73
12527,3.82
9935,5.75
6075,6.56
8483,6.1
5024,6.76
7706,6.25
6202,6.54
1226,7.66
5775,6.62
12233,4.71
5597,6.65
12347,4.57
3887,7.03
12006,4.92
4395,6.9
6702,6.45
7458,6.3
11558,5.21
8023,6.19
9035,5.98
1310,7.63
6682,6.45
712,7.91
11243,5.35
7765,6.24
7492,6.29
6601,6.46
8187,6.15
8451,6.1
4104,6.97
1822,7.46
9054,5.97
1315,7.63
6654,6.45
4412,6.9
5544,6.66
11027,5.43
2315,7.34
2826,7.24
4630,6.85
7207,6.35
2595,7.29
11896,5.02
1339,7.62
3264,7.16
4649,6.85
738,7.9
5333,6.71
965,7.78
252,8.29
8812,6.03
5841,6.61
2098,7.4
8673,6.06
6145,6.54
3196,7.17
872,7.83
8818,6.03
5386,6.7
9142,5.95
5165,6.74
11860,5.05
6372,6.51
4139,6.96
6408,6.5
6608,6.46
4894,6.79
9994,5.74
6508,6.48
12329,4.6
11559,5.21
9280,5.92
10875,5.48
7407,6.31
10522,5.59
11270,5.34
9501,5.87
8672,6.06
11918,5.0
6378,6.51
12356,4.55
447,8.11
10366,5.64
56,8.68
3412,7.13
3817,7.04
2855,7.23
7810,6.23
2986,7.21
476,8.09
10183,5.69
7722,6.25
4707,6.84
8263,6.13
11387,5.29
4374,6.91
8355,6.12
7402,6.31
9924,5.76
8390,6.11
750,7.89
11140,5.39
10422,5.62
7762,6.24
376,8.17
2458,7.31
11484,5.24
8898,6.01
4682,6.84
8473,6.1
12191,4.76
10772,5.51
4098,6.98
4672,6.84
12584,2.96
8806,6.03
9893,5.76
6240,6.53
12346,4.58
12421,4.41
2400,7.33
5235,6.72
3544,7.1
6802,6.43
11781,5.09
7288,6.33
5444,6.68
12003,4.92
8774,6.03
9848,5.78
6245,6.53
5767,6.62
4896,6.79
6076,6.56
227,8.33
8289,6.13
2317,7.34
3853,7.03
4604,6.86
7580,6.28
2648,7.28
1508,7.56
6536,6.48
11754,5.1
1684,7.51
499,8.07
10312,5.66
1699,7.5
1877,7.45
4515,6.87
513,8.06
10766,5.52
5702,6.64
3963,7.01
2704,7.27
820,7.85
12332,4.6
7229,6.35
7952,6.2
4874,6.8
6077,6.56
2448,7.32
474,8.09
7874,6.22
6385,6.51
4209,6.95
5598,6.65
7895,6.22
2916,7.22
3991,7.0
8285,6.13
480,8.08
5538,6.66
5270,6.72
8368,6.11
2577,7.29
11396,5.29
6020,6.57
12107,4.84
12071,4.87
11327,5.32
7460,6.3
6418,6.5
1596,7.54
5328,6.71
1349,7.62
4100,6.97
5099,6.75
9119,5.96
9330,5.91
2922,7.22
3434,7.12
10092,5.71
8910,6.0
1606,7.53
11796,5.08
5397,6.69
3031,7.2
2762,7.25
12438,4.38
5857,6.6
7130,6.37
7300,6.33
3148,7.18
3685,7.07
10791,5.51
4705,6.84
1659,7.52
6443,6.5
11353,5.31
8781,6.03
11742,5.11
3660,7.07
1446,7.58
11012,5.44
1020,7.75
705,7.91
4513,6.87
1866,7.45
10733,5.53
5553,6.66
4112,6.97
2122,7.39
7463,6.3
2574,7.29
12152,4.8
1921,7.44
3614,7.09
2956,7.22
7503,6.29
7205,6.35
11576,5.2
5268,6.72
1419,7.58
3424,7.13
10835,5.5
10133,5.7
7707,6.25
2025,7.41
594,8.0
1558,7.55
4549,6.87
8214,6.14
7944,6.2
10763,5.52
3523,7.11
7708,6.25
9804,5.79
4084,6.98
3400,7.13
2058,7.41
3846,7.03
7471,6.3
11733,5.12
5130,6.74
12077,4.87
2652,7.28
7593,6.28
4168,6.96
4345,6.92
5883,6.6
12236,4.71
7653,6.26
535,8.04
9909,5.76
292,8.25
2836,7.24
7802,6.23
9300,5.92
9724,5.81
2870,7.23
7364,6.32
6400,6.5
10333,5.65
8874,6.01
10397,5.63
4081,6.98
6423,6.5
